Rank,Cliente_BM,Empresa,Categoria,Gerencia_Obra,Cidade_Sede,Dist_Louveira_km,Telefone,Site,Avaliacao,Qtd_Avaliacoes,Score_ICP,Faixa_ICP,Score_Motivo,Endereco,Google_Maps,Nome_Decisor,Email,Status_Prospeccao,Observacoes
572,,Casa C Arquitetura,Arquitetura,A verificar,Jundiai,18,(11) 96581-1970,,5,9,52,B - abordar depois,Arquitetura +32; 18km +10; tel +5; reputacao +5,"R. do Retiro, 177 - Anhangabaú, Jundiaí - SP, 13013-000",https://maps.google.com/?cid=17054361766912811578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
573,,Casa de Taipa Arquitetura e Restauro,Arquitetura,A verificar,Jundiai,18,(11) 91564-0156,,5,11,52,B - abordar depois,Arquitetura +32; 18km +10; tel +5; reputacao +5,"Rua 23 de Maio - R. Atílio Vianelo, 195 - Jardim Sao Bento, Jundiaí - SP, 13207-070",https://maps.google.com/?cid=1956804380755644456&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
574,,E2C Arquitetura,Arquitetura,A verificar,Jundiai,18,(11) 98882-1089,,5,64,52,B - abordar depois,Arquitetura +32; 18km +10; tel +5; reputacao +5,"Apenas com Agendamento - R. Hilda Del Nero Bisquolo, 102 - Jardim Florida, Jundiaí - SP, 13208-703",https://maps.google.com/?cid=11791520056228570777&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
575,,Escritório Aberto de Arquitetura,Arquitetura,A verificar,Jundiai,18,(11) 3379-0967,,5,9,52,B - abordar depois,Arquitetura +32; 18km +10; tel +5; reputacao +5,"R. Cap. Cassiano Ricardo de Toledo, 191 - L51 - Centro, Jundiaí - SP, 13201-840",https://maps.google.com/?cid=6262143994989916085&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
576,,FH 10 Empreendimentos Imobiliários,Incorporadora,Sim (indicio no nome),Jundiai,18,(11) 4497-0740,,3.6,5,52,B - abordar depois,Incorporadora +25; gerencia obra +12; 18km +10; tel +5,"R. Elias Juvenal de Mello, 1126 - Jardim Ana Maria, Jundiaí - SP, 13208-820",https://maps.google.com/?cid=4626714918063933643&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
577,,G + A Engenharia e Construção,Construtora,Sim (indicio no nome),Jundiai,18,,,3.9,11,52,B - abordar depois,Construtora +30; gerencia obra +12; 18km +10,"Rua Kênia, 37 - Jardim Bonfiglioli, Jundiaí - SP, 13207-389",https://maps.google.com/?cid=13866612004599546347&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
578,,Montagem de Stands | Design e Arquitetura de Stands‎,Arquitetura,A verificar,Jundiai,18,,https://www.garradesign.com.br/,,,52,B - abordar depois,Arquitetura +32; 18km +10; site +10,"R. Kanebo, 175 - Distrito Industrial, Jundiaí - SP, 13213-090",https://maps.google.com/?cid=16497922585496025925&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
579,,Nanni Arquitetura e Design,Arquitetura,A verificar,Jundiai,18,(11) 96532-3332,,5,51,52,B - abordar depois,Arquitetura +32; 18km +10; tel +5; reputacao +5,"R. Jundiainopolis, 330 - Vila Aielo, Jundiaí - SP, 13206-540",https://maps.google.com/?cid=17093853446546631632&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
580,,Operacional Projetos E Construções Ltda,Construtora,Sim (indicio no nome),Jundiai,18,,,3.7,3,52,B - abordar depois,Construtora +30; gerencia obra +12; 18km +10,"R. Dr. Antenor Soares Gandra, 658 - Jardim Pacaembu, Jundiaí - SP, 13218-335",https://maps.google.com/?cid=6726423463012957437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
581,,Ricardo Gaspari - Arquiteto e Urbanista,Arquitetura,A verificar,Jundiai,18,(11) 97437-2565,,5,7,52,B - abordar depois,Arquitetura +32; 18km +10; tel +5; reputacao +5,"R. Bonifácio José da Rocha, 174 - Vila Boaventura, Jundiaí - SP, 13201-812",https://maps.google.com/?cid=16097117149845000467&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
582,,TR7 Engenharia e Construção,Construtora,Sim (indicio no nome),Jundiai,18,,,5,2,52,B - abordar depois,Construtora +30; gerencia obra +12; 18km +10,"R. Bom Jesus de Pirapora, 1550 - Vianelo/Bonfiglioli, Jundiaí - SP, 13207-379",https://maps.google.com/?cid=15611293437206083026&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
583,,Pass Arquitetura Comércio,Arquitetura,A verificar,Louveira,0,(11) 4522-5972,,4,1,52,B - abordar depois,Arquitetura +32; 0km +15; tel +5,"R. da Colina, 115 - Colina da Bela Vista, Louveira - SP, 13290-000",https://maps.google.com/?cid=3502879997254854100&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
584,,Alan Jones Cardoso - Arquiteto,Arquitetura,A verificar,Vinhedo,9,(19) 3876-1999,,5,3,52,B - abordar depois,Arquitetura +32; 9km +15; tel +5,"Av. Arnaldo Biagioli, 711 - Pinheirinho, Vinhedo - SP, 13280-000",https://maps.google.com/?cid=7771636062974262871&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
585,,Amaro Arquitetura,Arquitetura,A verificar,Vinhedo,9,(19) 99178-3686,,,,52,B - abordar depois,Arquitetura +32; 9km +15; tel +5,"R. Augusto César Monteiro, 45 - Jardim Melle, Vinhedo - SP, 13283-474",https://maps.google.com/?cid=17148960826458260513&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
586,,Arquiteto André Pescarini,Arquitetura,A verificar,Vinhedo,9,(19) 99199-5868,,,,52,B - abordar depois,Arquitetura +32; 9km +15; tel +5,"R. Amazonas, 176 - Vila Planalto, Vinhedo - SP, 13280-081",https://maps.google.com/?cid=4537859598413048421&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
587,,Arquitetura & Design Juliana Pedraza,Arquitetura,A verificar,Vinhedo,9,(19) 99177-4806,,,,52,B - abordar depois,Arquitetura +32; 9km +15; tel +5,"R. Eduardo Ferragut, 82 - Sl 04 - Pinheirinho, Vinhedo - SP, 13289-322",https://maps.google.com/?cid=2587648301050986187&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
588,,Escritório arquitetura ID.AD,Arquitetura,A verificar,Vinhedo,9,(19) 97408-7647,,5,2,52,B - abordar depois,Arquitetura +32; 9km +15; tel +5,"Rod. Edenor João Tasca, 970 A, Vinhedo - SP, 13283-652",https://maps.google.com/?cid=6941496771240481130&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
589,,Harmonia Arquitetura,Arquitetura,A verificar,Vinhedo,9,(19) 98109-4236,,5,3,52,B - abordar depois,Arquitetura +32; 9km +15; tel +5,"R. dos Cardeais, 179 - Jardim Italia, Vinhedo - SP, 13280-000",https://maps.google.com/?cid=6749020475950548255&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
590,,MMA SONODA ARQUITETURA,Arquitetura,A verificar,Vinhedo,9,(11) 97132-4994,,,,52,B - abordar depois,Arquitetura +32; 9km +15; tel +5,"Av. Páscoa Zanetti Trevisan, 597 - Jardim Italia, Vinhedo - SP, 13280-000",https://maps.google.com/?cid=4917706792279665815&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
591,,Maira Lago Arquitetura,Arquitetura,A verificar,Vinhedo,9,(19) 99685-4772,,,,52,B - abordar depois,Arquitetura +32; 9km +15; tel +5,"Av. Benedito Storani, 1314 - Sl 8 - Res. Aquário, Vinhedo - SP, 13284-002",https://maps.google.com/?cid=13946654372437528722&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
592,,Prado e Zechin Arquitetura,Arquitetura,A verificar,Vinhedo,9,(19) 99939-7939,,5,4,52,B - abordar depois,Arquitetura +32; 9km +15; tel +5,"R. Manoel Matheus, 1056 - Jardim Italia, Vinhedo - SP, 13280-304",https://maps.google.com/?cid=17252513598721586947&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
593,,Prisco Arquitetos,Arquitetura,A verificar,Vinhedo,9,(19) 99795-7778,,,,52,B - abordar depois,Arquitetura +32; 9km +15; tel +5,"Av. Benedito Storani, 1425 - Sl 201 - TORRE 01 - Santa Rosa, Vinhedo - SP, 13284-002",https://maps.google.com/?cid=17771005197229639185&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
594,,Studio DUO. arquitetura,Arquitetura,A verificar,Vinhedo,9,(19) 3309-1601,,5,1,52,B - abordar depois,Arquitetura +32; 9km +15; tel +5,"R. dos Cardeais, 110 - Jardim Italia, Vinhedo - SP, 13289-188",https://maps.google.com/?cid=8699136407659435200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
595,,Vig Art Arquitetura,Arquitetura,A verificar,Vinhedo,9,(19) 98207-0006,,1,1,52,B - abordar depois,Arquitetura +32; 9km +15; tel +5,"R. Humberto Pescarini, 40 - Centro, Vinhedo - SP, 13280-178",https://maps.google.com/?cid=13089218503459749516&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
596,,WV Arquitetos - Waldemar e Vera Schilling Arquitetos,Arquitetura,A verificar,Vinhedo,9,(19) 3826-1618,,5,3,52,B - abordar depois,Arquitetura +32; 9km +15; tel +5,"R. dos Vereadores, 40 - Centro, Vinhedo - SP, 13280-274",https://maps.google.com/?cid=14215146323947719893&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
597,,ASOMETRA – Engenharia de Segurança e Medicina do Trabalho,Engenharia,Provavel,Itatiba,27,(11) 4538-0227,,4.1,67,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. Augusto Bezana, 50 - Jardim Sao Jose, Itatiba - SP, 13250-537",https://maps.google.com/?cid=2508016788701591868&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
598,,Allsan Engenharia e Administração,Engenharia,Provavel,Itatiba,27,(11) 4594-2928,,4,1,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. Rosa Del Nero Rela, 165 - Vila Santa Luzia, Itatiba - SP, 13255-330",https://maps.google.com/?cid=2292406695627066515&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
599,,Alpha Engenharia,Engenharia,Provavel,Itatiba,27,(11) 2570-8826,,5,1,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. Prof. Brito, 76 - Centro, Itatiba - SP, 13250-060",https://maps.google.com/?cid=12565682074732307298&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
600,,Arts Extrutural,Construtora,Provavel,Itatiba,27,(11) 99711-4526,,5,6,50,B - abordar depois,Construtora +30; 27km +10; tel +5; reputacao +5,"R. Pedro Delforno - Jardim Virginia, Itatiba - SP, 13257-470",https://maps.google.com/?cid=7614461744275509519&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
601,,BR Engenharia,Engenharia,Provavel,Itatiba,27,(11) 4524-6270,,,,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"Av. Sen. Lacerda Franco, 553 - Centro, Itatiba - SP, 13250-400",https://maps.google.com/?cid=12552815938198527833&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
602,,Bocaletto Engenharia,Engenharia,Provavel,Itatiba,27,(11) 4524-2258,,4.5,2,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. Benjamin Constant, 433 - Centro, Itatiba - SP, 13250-340",https://maps.google.com/?cid=12905035414632697196&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
603,,CF Engenharia,Engenharia,Provavel,Itatiba,27,(11) 4594-7393,,,,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. José Benedito Franco Penteado, 121 - Lot. Res. Central Park I, Itatiba - SP, 13253-100",https://maps.google.com/?cid=8720097574020513891&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
604,,Delsan Engenharia,Engenharia,Provavel,Itatiba,27,(11) 99789-5383,,,,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"Av. Nossa Sra. das Graças, 2850 - Nossa Senhora das Graças, Itatiba - SP, 13257-400",https://maps.google.com/?cid=12911382187733996484&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
605,,Dferr engenharia,Engenharia,Provavel,Itatiba,27,(11) 99774-9739,,,,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"Rua joanine bartholomeu, 325 - Jardim Tereza, Itatiba - SP, 13253-030",https://maps.google.com/?cid=2005423330657903178&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
606,,ERP Engenharia,Engenharia,Provavel,Itatiba,27,(11) 99944-9873,,5,2,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"Av. Expedicionários Brasileiros, numero: 333 - Renata Coelho Imóveis - Sala 1505 - Vila Brasileira, Itatiba - SP, 13256-422",https://maps.google.com/?cid=8627621176703729111&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
607,,Engenharia Barros,Engenharia,Provavel,Itatiba,27,(11) 97283-1131,,,,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. Júlio Paiva - Vila Cruzeiro, Itatiba - SP, 13257-020",https://maps.google.com/?cid=2228373304723668296&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
608,,Engreforte Engenharia Inteligente,Engenharia,Provavel,Itatiba,27,(11) 97437-2209,,,,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. Quintino Bocaiúva - Centro, Itatiba - SP, 13250-320",https://maps.google.com/?cid=15076775656885927224&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
609,,FREDDY ENGENHARIA,Engenharia,Provavel,Itatiba,27,(11) 4538-5293,,1.8,5,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. Benjamin Constant, 382 - Centro, Itatiba - SP, 13250-340",https://maps.google.com/?cid=7136167769703004302&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
610,Hudson Engenharia,Hudson Engenharia,Engenharia,Provavel,Itatiba,27,(11) 4534-1193,,,,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"Av. Saudade, 54 - Jardim Tereza, Itatiba - SP, 13250-000",https://maps.google.com/?cid=17431603822574567532&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,JA E CLIENTE - nao prospectar,
611,,Joel Choinhet Engenharia,Engenharia,Provavel,Itatiba,27,(11) 99803-8231,,5,1,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"Av. Maria Teresa da Costa Naufal, n.461 - Parque das Laranjeiras, Itatiba - SP, 13254-600",https://maps.google.com/?cid=7737331181809438777&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
612,,LINO Construções,Construtora,Provavel,Itatiba,27,(11) 99725-0225,,5,6,50,B - abordar depois,Construtora +30; 27km +10; tel +5; reputacao +5,"colina II - R. Renato Penteado Bianco, 42 - Bairro dos Pintos, Itatiba - SP, 13254-700",https://maps.google.com/?cid=8310185528446681433&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
613,,Lucas Gonçalves Engenharia & Perícias,Engenharia,Provavel,Itatiba,27,(11) 94206-7994,,,,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. Piza e Almeida, 452 - 33 - Centro, Itatiba - SP, 13250-170",https://maps.google.com/?cid=17820142437449772582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
614,,Molise Engenharia,Engenharia,Provavel,Itatiba,27,(11) 4538-0266,,5,2,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. Quintino Bocaiúva, 22 - Centro, Itatiba - SP, 13250-320",https://maps.google.com/?cid=16089140509917677318&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
615,,P&P Engenharia e Comercio Ltda ME,Engenharia,Provavel,Itatiba,27,(11) 99879-0241,,,,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. Santo Antônio, 2285 - Jardim Mexico, Itatiba - SP, 13253-400",https://maps.google.com/?cid=2719200948174386715&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
616,,Pecorari Engenharia,Engenharia,Provavel,Itatiba,27,(11) 99936-3041,,5,1,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. Crescêncio da Silveira Pupo, 38 - Vila Cassaro, Itatiba - SP, 13256-330",https://maps.google.com/?cid=12137176706054641564&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
617,,Potomac Engenharia de Equipamentos,Engenharia,Provavel,Itatiba,27,(11) 4524-8957,,2.5,2,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"Tv. Edson José Zamboni, 21 - c 2 - Jardim Mexico, Itatiba - SP, 13253-354",https://maps.google.com/?cid=15917056891732266665&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
618,Rezyd,REZYD Construtora & Incorporadora,Incorporadora,A verificar,Itatiba,27,(11) 4524-3212,https://rezyd.com.br/,5,2,50,B - abordar depois,Incorporadora +25; 27km +10; site +10; tel +5,"Praxx Comercial - Av. Expedicionários Brasileiros, 333 - Sl 914 - Vila Brasileira, Itatiba - SP, 13256-400",https://maps.google.com/?cid=11344612024403837743&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,JA E CLIENTE - nao prospectar,
619,,RS Instalações Elétricas manutenções residencial e comercial,Construtora,Provavel,Itatiba,27,(11) 97548-0680,,5,43,50,B - abordar depois,Construtora +30; 27km +10; tel +5; reputacao +5,"R. Antônio Galvão de Sá - parque San, Itatiba - SP, 13254-320",https://maps.google.com/?cid=2534596796540437627&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
620,,Reune Projetos & Engenharia (Ana Paula Montico de Carvalho),Engenharia,Provavel,Itatiba,27,(11) 97468-5010,,4,4,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. Ângelo Puccinelli, 91 - Jardim Maria, Itatiba - SP, 13251-520",https://maps.google.com/?cid=15734303272091385447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
621,,Área Nobre Engenharia e Incorporação,Engenharia,Provavel,Itatiba,27,(11) 4524-1519,,4,2,50,B - abordar depois,Engenharia +35; 27km +10; tel +5,"R. Santo Monte, 175 - Jardim Salessi, Itatiba - SP, 13251-131",https://maps.google.com/?cid=15013742916179755472&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
622,,DL instalações,Construtora,Provavel,Itupeva,22,(19) 99122-0677,,5,10,50,B - abordar depois,Construtora +30; 22km +10; tel +5; reputacao +5,"R. Adélia de Oliveira - Pacaembu, Itupeva - SP, 13295-478",https://maps.google.com/?cid=4920376232347580757&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
623,,DPS Engenharia e Serviços Tercerizados,Engenharia,Provavel,Itupeva,22,(13) 99608-0418,,,,50,B - abordar depois,Engenharia +35; 22km +10; tel +5,"R. Adélia de Oliveira, 28 - Residencial Pacaembu, Itupeva - SP, 13295-000",https://maps.google.com/?cid=15019608703791013109&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
624,,Edrox Soluções em Engenharia,Engenharia,Provavel,Itupeva,22,(11) 96347-2556,,,,50,B - abordar depois,Engenharia +35; 22km +10; tel +5,"Rod. Mário Tonoli - Estância Hidromineral Santa Eliza, Itupeva - SP, 13295-000",https://maps.google.com/?cid=13590361721032241091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
625,,Engenharia Civil - Monise Dutra,Engenharia,Provavel,Itupeva,22,(11) 97229-9349,,,,50,B - abordar depois,Engenharia +35; 22km +10; tel +5,"Rua: Francisco Cardoso da Silva - Portal da Santa Fe, Itupeva - SP, 13295-564",https://maps.google.com/?cid=9050403616532524566&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
626,JM Solucoes,JM Soluções Engenharia,Engenharia,Provavel,Itupeva,22,(11) 97471-8674,,2.5,2,50,B - abordar depois,Engenharia +35; 22km +10; tel +5,"R. Sebastião Deonísio - Parque Residencial Paraiso - Terras Brasilis, Itupeva - SP, 13295-000",https://maps.google.com/?cid=3616795980409370649&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,JA E CLIENTE - nao prospectar,
627,,MMM SP Engenharia Civil Indústria e Comércio de Pré-Moldados,Engenharia,Provavel,Itupeva,22,(11) 5671-7820,,5,1,50,B - abordar depois,Engenharia +35; 22km +10; tel +5,"R. João Batista Pessine, 648 - Região Metropolitana de Jundiaí, Itupeva - SP, 13295-000",https://maps.google.com/?cid=15381517653904245896&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
628,,RED Engenharia e Consultoria LTDA,Engenharia,Provavel,Itupeva,22,(11) 4496-5686,,5,1,50,B - abordar depois,Engenharia +35; 22km +10; tel +5,"Av. Brasil, 952 - Jardim Primavera, Itupeva - SP, 13295-000",https://maps.google.com/?cid=12577013407983332370&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
629,,Red Engenharia,Engenharia,Provavel,Itupeva,22,(11) 4496-1855,,,,50,B - abordar depois,Engenharia +35; 22km +10; tel +5,"R. João Canova, 122 - Laranjeiras, Itupeva - SP, 13295-000",https://maps.google.com/?cid=11400385848011365956&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
630,,Renato Coelho Engenharia Civil,Engenharia,Provavel,Itupeva,22,(11) 99631-7104,,2.7,3,50,B - abordar depois,Engenharia +35; 22km +10; tel +5,"R. José Virillo, 358 - Portal da Santa Fe, Itupeva - SP, 13295-000",https://maps.google.com/?cid=16903111208318526067&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
631,,Viotto Engenharia e Topografia,Engenharia,Provavel,Itupeva,22,(11) 4591-2652,,,,50,B - abordar depois,Engenharia +35; 22km +10; tel +5,"R. Benedita Cardoso Madeira, 945 - Residencial Pacaembu, Itupeva - SP, 13295-000",https://maps.google.com/?cid=17938399349584409869&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
632,,Wakabayashi Engenharia,Engenharia,Provavel,Itupeva,22,(11) 4591-1636,,5,2,50,B - abordar depois,Engenharia +35; 22km +10; tel +5,"R. Emancipadores do Município, 363 - Do Pinherinho, Itupeva - SP, 13295-000",https://maps.google.com/?cid=10598671262789247752&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
